user,rule_id,goal,user_type,situation,context,context_nl,item,item_nl,label
student2021-13,421,Organizing,Generic,Generic,none,none,wi fi-state,when the wifi is off (it does not work) ,1
student2020-26,351,Security,Generic,Night,none,none,entrance-doorsensor,"If the door sensor at night reads ""not closed"", ",1
student2021-07,391,Health,Generic,Generic,none,none,reminders-reminders,"send the notification ""take the medicine"".",1
student2021-03,372,"Wellbeing,Health",Generic,Generic,none,none,reminders-reminder,remind me to drink some water,1
student2019-7,154,Health,Generic,Generic,alarms-alarms,sends him three alarm notifications reminding him to take the meds ,all-biorhythmlight,the system turns on the house lights intermittently and,1
student2019-9,166,Generic,Generic,BadWeather,entrance-windowsensor, if the sensor of the window is active and ,currentweather-rain, it is raining outside,1
applicationExpert4,101,Organizing,Caregiver,ElderlyAlone,datetime-localtime;datetime-localdate, WHEN  time becomes  09:00 minutes and  Weather & Time date is  12-06-2020 ,pc-state,"When I turn on the computer,",0
domainExpert4,11,Health,Caregiver,Generic,none,none,alarms-alarms,"send two alerts ""Take the evening Provisacor "" by notification ",1
student2020-3,235,Comfort,Generic,Generic,none,none,entrancelight-state,"When the hall light is turned on,",1
student2019-5,142,Health,Generic,Generic,none,none,alerts-alerts,"turn on the light strip corridor, ",0
student2019-16,201,Generic,Generic,BadWeather,none,none,reminders-reminders,"send the reminder ""Close the windows"" to houseowner@provider.it",1
student2020-6,252,"Comfort, Organizing",Generic,BadWeather,livingroom-windowsensor,"the window in the living room is open,  ",currentweather-rain,When it starts to rain and ,1
student2020-25,346,Comfort,Generic,Generic,alarms-alarms," send the alarm notification ""Bathroom light is off"" and  ",bathroomlight-state,"If the bathroom light is not on,",1
student2019-19,219,Generic,Generic,Morning,reminders-reminders;bedroom-activate,send a notification saying 'Good morning!'. set the lights in activation mode and  ,bedroomlight-state,"turns on his room light, ",1
student2021-13,422,Safety,Generic,Generic,none,none,alarms-notificationmode,call the fire brigade,1
domainExpert8,69,"Comfort, Safety",Generic,Night,datetime-localtime;datetime-localtime;datetime-localtime;datetime-localtime,When time is    lt 06:00 minutes When time is    gt 02:30 minutes AND When time is    lt 23:59 minutes or When time is    gt 22:00 minutes AND ,activity-medicationname,if Zoloft have not been taken between 07:31 and 08:01,0
applicationExpert4,111,"Health, Wellbeing",Generic,GoodWeather,datetime-localtime;datetime-localtime,time  is between 09:30 AND 11:00  time  is between 09:30 AND 11:00  ,reminders-reminders,"do send  one  reminder ""weather is good  you should go out for a walk""  by notification",1
student2019-6,146,Generic,Generic,BadWeather,livingroom-windowsensor, if the windows of the living room are open ,currentweather-outdoorcondition,When a thunderstorm is coming,1
student2021-12,418,"Comfort, Wellbeing",Generic,Generic,devices-tv;livingroom-hue color light living room,turn on the TV  turn on the blue light and  ,bathroom-smokesensor,If the smoke sensor is active and ,0
applicationExpert4,89,"Comfort, Wellbeing",Generic,Night,datetime-localtime,time  is between 23:00 AND 06:00 ,microwave-state,If the microwave oven turns on ,0
student2019-1,124,Safety,Caregiver,"ElderlyAlone, Night",corridor-light strip corridor;bedroomportablelight-state,a light strip of LEDs will be activated in the corridor for a period of 10 minutes in order to facilitate nocturnal movements within the house when the bedside light is turned on ,personaldata-age,If the user is over 70 years old,1
student2020-11,278,Comfort,Generic,Evening,alarms-alarms,"send me an alarm notification saying ""The light in the living room is still off!"" and  ",livingroom-alllight,turn on the light in the living room.,1
student2019-7,154,Health,Generic,Generic,activity-medicationname,If the user has not taken the blood pressure medicine between 14.00 and 15.00 ,all-biorhythmlight,the system turns on the house lights intermittently and,1
student2020-13,288,EnergySaving,Generic,Morning,kitchenlight-state,"the kitchen light is on,  ",kitchen-lightlevel,If it is daylight outside and ,1
student2020-24,340,EnergySaving,Generic,Generic,bathroomlight-state,"When the microwave door is open,  ",reminders-reminders,"send the voice reminder ""Microwave door open""",1
student2020-27,358,Comfort,Generic,Generic,none,none,garden-smokesensor,"If the smoke sensor in the garden is not turned on, ",0
domainExpert5,33,Health,Caregiver,Generic,none,none,bedroom-hue color light bedroom,"turn on the bedroom lights, yellow, for 10 minutes.",0
student2019-10,173,Safety,Generic,Generic,kitchenlight-state,the kitchen light goes from being on to being turned off ,alarms-alarms,it sends an alarm indicating the presence of smoke in the kitchen and ,1
student2020-22,333,EnergySaving,Generic,Generic,corridor-alllight;alarms-alarms;corridorlightstrip-state,"turn off all corridor lights send the user an alarm notification (Unused corridor lights, switch off) and  the corridor light is on,  ",bedroom-changelightstate,turn on the light and ,0
student2020-17,309,Safety,Caregiver,Generic,personaldata-age;corridorlightstrip-state;alerts-alerts,"IF the test user's age is over 65,  and the corridor light strip status turns off,  turn on the light strip corridor,  ",corridor-alllight,"send the alert by notification ""The light strip in the corridor has gone out, be careful!""",1
student2021-13,423,"EnergySaving,Wellbeing",Generic,GoodWeather,home-allwindow;livingroom-changelightstate;currentweather-outdoortemperature,"open the windows. turn off the lights and  outside the temperature exceeds 15 degrees,  ",entrance-lightlevel,when there is daylight at the entrance and ,1
student2019-3,130,"Organizing, Wellbeing",Student,Morning,none,none,livingroom-biorhythmlight,start the light biorhythm and ,0
student2020-5,249,"EnergySaving, Wellbeing",Generic,Night,bedroomlight-state,"with the lights on,  ",kitchen-alllight,turns on the lights in the kitchen.,0
student2020-25,349,Comfort,Generic,Generic,none,none,timeinsidearoom-timeinsidebathroom,If you spend more than two minutes in the bathroom and,1
student2021-12,418,"Comfort, Wellbeing",Generic,Generic,devices-tv;livingroom-hue color light living room;light-state,"turn on the TV  turn on the blue light and  the light in the living room is off, ",livingroom-changelightstate,turn on the light in the living room for 10 minutes.,0
student2020-9,266,EnergySaving,Generic,Night,alarms-alarms,"do send  two  alarms   by sms to me with text ""turn the ligths off"", ",corridorlightstrip-state,"if  Corridor Light Strip state is   not   off   between 23:57 and 06:57 ,  ",1
student2021-09,401,"Comfort,Wellbeing",Generic,BadWeather,none,none,currentweather-outdoorcondition,When it is raining outside and ,1
student2019-3,134,"Organizing, Wellbeing",Generic,Generic,none,none,datetime-localtime,If it's 6:50 am and,1
student2021-08,399,WellBeing,Generic,ColdSeason,home-heating,turn off the heating system and  ,reminders-reminders,send a voice notification saying: 'I have turned off the heating!'.,1
student2019-10,171,Wellbeing,Generic,Evening,reminders-reminders,send a notification suggesting that you turn down the brightness in the room. ,currentweather-weathericon,If the weather weather icon is sun,0
domainExpert7,47,"Health, Wellbeing",Caregiver,Generic,none,none,datatime-localtime,If it's after 9:30 pm and,0
student2020-3,239,Wellbeing,Generic,Night,datetime-localtime;bedroomlight-state;alarms-alarms," (at night)  and the bed light is off,  I ask the user if he is ok and  ",bedroomportablelight-state,"the lamp light in the bedroom is on, ",0
student2021-10,406,"Comfort,Wellbeing",Generic,HotSeason,bedroom-windowsensor,the sensor detects that the windows are closed  ,timeinsidearoom-timeinsidekitchen,When the user's time in the kitchen becomes greater than 1 minute and,0
student2021-02,366,Health,Generic,Generic,none,none,home-alllight,start an alarm siren,1
student2019-11,177,Safety,Generic,Generic,none,none,entrancelight-state,"if the entrance light is off, ",1
domainExpert7,52,Wellbeing,Caregiver,Evening,relativeposition-typeofproximity;datetime-localtime,When  Test-user   is  inside  livingroom and and time becomes  more then  22:00 minutes   ,livingroom-relax,do start relaxing light scene in the living room,1
student2019-4,138,Organizing,Generic,BadWeather,alarms-alarms;greatluminaire-state,send an alarm as a text message reminding you that it will rain tomorrow the great luminaire is on ,twentyfourhoursweatherforecast-rain,If tomorrow it will rain and,1
applicationExpert4,87,Wellbeing,Generic,Evening,none,none,datetime-localtime,if time  is between 21:00 AND 23:00 ,1
domainExpert4,7,Health,Caregiver,Generic,none,none,livingroom-hue color light living room,turn on the   Living Room Light and set color to Red,1
student2021-15,432,Wellbeing,Generic,Evening,kitchen alexa-vocalinput,I say the phrase 'it's time to cook'  ,datetime-localtime,If it's later than 19:00 and ,1
student2020-27,357,Wellbeing,Generic,Generic,none,none,bathroom-humiditylevel,When the humidity level in the bathroom is greater than 65% and ,1
domainExpert8,70,Health,Caregiver,Generic,none,none,tablet-state," if I have at least one device on (tablet),",0
student2020-27,358,Comfort,Generic,Generic,entrancelight-state;alarms-alarms,"if the entrance lights are off,  send an alarm notification 'make sure the entrance is lit', ",entrance-alllight, turn on the entrance lights.,1
student2019-20,220,EnergySaving,Generic,Generic,timeinsidearoom-timeinsidebedroom;entrancelight-state;reminders-reminders,"If the user has been in the room for more than an hour and  the entrance light is on,  change the color of the light to red for two minutes and ",bedroom-hue color light bedroom, send a reminder to turn off the light.,1
applicationExpert4,98,"Health, Wellbeing",Generic,GoodWeather,twentyfourhoursweatherforecast-outdoorcondition,Weather & Time outdoor condition is  clear sky  and ,twentyfourhoursweatherforecast-outdoortemperature,and  Weather & Time outdoor temperature is  more then  20,1
student2019-11,176,Comfort,Generic,Evening,livingroom-alllight,activate the light in the living room ,alarms-alarms,send an alarm via notification and ,1
student2020-19,316,Security,Generic,Night,none,none,livingroomlight-temperature,"the light temperature is less than 20, ",0
student2019-8,155,Safety,Generic,Generic,none,none,kitchen-gassensor,If the gas sensor is active (condition) and,1
student2020-5,248,Safety,Generic,Generic,kitchen-windowsensor;alarms-alarms,"the kitchen windows are closed,  turn on the alarm and  ",bedroom-gassensor,"If the gas sensor in the bedroom is not active between 01:00 and 06:00, ",0
student2020-3,239,Wellbeing,Generic,Night,alarms-alarms;bedroomlight-state,"I ask the user if he is ok and  and the bed light is off,  ",datetime-localtime, (at night) ,1
student2021-12,417,Wellbeing,Generic,Generic,none,none,livingroom-lightlevel,if the living room light level is not bright and ,0
student2021-06,388,Health,Generic,Generic,none,none,home-robotvacuumcleaner, turn off the vacuum cleaner and ,0
student2019-4,137,"Wellbeing, Health",Generic,Generic,none,none,alarms-alarms,"end the user three alarms ""You have to train for at least 60 minutes a day!"" reminding him to train for the necessary time.",1
student2019-19,218,Safety,Generic,Generic,corridor-smokesensor;corridorlightstrip-color;reminders-reminders,"If smoke is detected in the hallway and  the light streaks glow red,  send two text messages to the homeowner saying 'Smoke in the hallway!' And  ",all-biorhythmlight,flash all the lights in the house.,1
student2019-16,204,Organizing,Generic,Generic,none,none,reminders-reminders,"send the SMS ""Check the microwave"" to Maria",1
student2019-6,148,Safety,Generic,Generic,kitchen-gassensor;kitchen-lightlevel,If the gas sensor is activated in the kitchen and if the light in the kitchen is off ,alarms-alarms,it sends three alarms per notification with the words: Gas leak and,1
student2020-10,270,Safety,Generic,Generic,none,none,reminders-reminders,"send 3 times a voice reminder ""gas sensor is on!""",1
student2020-26,354,Wellbeing,Generic,Generic,timeinsidearoom-timeinsidebathroom;bathroomlight-state,"When the user's time in the bathroom is greater than 20 minutes and  If the light in the bathroom is off,  ",bathroom-alllight,Turn on the white light in the bathroom and ,1
student2021-13,424,"Comfort,Wellbeing",Generic,Generic,test-user-leisure," the TV is on, ",bedroom-biorhythmlight,do start biorhythm light scene in the bedroom,0
student2019-19,219,Generic,Generic,Morning,none,none,bedroomlight-state,"turns on his room light, ",1
student2020-9,268,EnergySaving,Generic,Morning,kitchen-alllight;alarms-alarms;kitchenlight-state," turn off all lights in the kitchen do send  two  alarms ""lights on""  by voice,   Kitchen Light state is    on  ,   ",datetime-localtime,if time is    10:00 minutes and ,1
student2021-05,384,Wellbeing,Generic,Generic,reminders-reminders;bedroom-hue color light bedroom;bedroomlight-state," sending the reminder ""Enjoy the reading!"" via notification. turn on the light and set it to a relaxing yellow color for 60 minutes, the room light is off,  ",test-user-leisure,When the user starts reading and ,1
student2020-18,311,Safety,Generic,Generic,corridor-light strip corridor;alarms-alarms," turn on the corridor light strips and set the color blue for 10 minutes  send the alarm via text message to 333123456 twice with the words ""Attention! The corridor smoke sensor is not active, ",bathroom-lightlevel,"the lights are on, ",0
student2020-13,288,EnergySaving,Generic,Morning,none,none,kitchen-lightlevel,If it is daylight outside and ,1
student2020-18,313,Security,Generic,Generic,entrance-noiselevel;entrancelight-state,"If the noise level at the entrance is greater than 0 and  if the entrance light is off,  ",bathroom-windowsensor,"the bathroom window is closed, ",0
domainExpert4,8,"Wellbeing, Health",Caregiver,Generic,cognitive-trainingtime,if the training time for the test user is 30 ,alarms-alarms,"send an alarm ""You can stop doing the exercises"" by notification",1
student2019-1,122,Organizing,Student,Morning,alarms-alarms,"an alarm sounds 3 times notifying: ""Wake up  you'll be late"" and ",livingroom-greatluminare,turn on the great light,0
student2020-1,229,Organizing,Student,Morning,sleep-sleepduration;bedroomlight-state,"When I sleep for more than 8 hours and  the bedroom lights are off,  ",kitchen-fridge,turn the refrigerator back on,0
student2021-01,364,"Comfort,Organizing",Generic,Generic,coffee machine-state,"the coffee machine is on,  ",currentweather-rainquantity,"the amount of rain is more than 40, ",0
student2021-05,383,"Wellbeing,Comfort",Generic,ColdSeason,none,none,currentweather-outdoortemperature,If the outside temperature is below 15 degrees and ,1
domainExpert7,49,"Health, Wellbeing",Caregiver,Generic,none,none,reminders-reminders,"do send  the reminder  ""Reminder: drink a glass of water"" by notification",1
applicationExpert4,111,"Health, Wellbeing",Generic,GoodWeather,datetime-localtime,time  is between 09:30 AND 11:00  ,home-alllight,turn off all the lights.,0
student2019-15,199,"Comfort, Safety",Generic,Generic,reminders-reminders;bathroom-alllight,send the voice notification 'Watch the step' turn on the bathroom lights and  ,bathroomlight-state," if the bathroom lights are off [condition], ",1
student2020-25,349,Comfort,Generic,Generic,bathroomlight-state;bathroom-alllight," the light is off,  turn it on and  ",reminders-reminders,"send a reminder notification that says ""the light was off.""",1
applicationExpert4,105,Health,Caregiver,ElderlyAlone,physiological-heartrate,When  Test-user heart rate becomes  130 ,sleep-bedoccupancy,When the user is in the bed and ,0
applicationExpert3,83,Wellbeing,Generic,Generic,none,none,sleep-sleepduration,When  Test-user sleep duration becomes  less then  60 minutes,1
student2021-14,425,Generic,Generic,Generic,none,none,entrance light-state,"If the outside lights are off,",1
student2020-1,225,EnergySaving,Generic,Generic,microwave-door,"If the microwave door is open, ",livingroom-greatluminare,turn on the great light,0
applicationExpert1,43,Generic,Caregiver,Generic,none,none,datetime-localtime,If time  is between 17:55 AND 18:00,1
student2019-1,121,"Organizing, Wellbeing",Generic,ColdSeason,reminders-reminders;currentweather-outdoortemperature,"the notification ""Remember to take your scarf and gloves!"" arrives reminding the user to take a scarf and gloves before leaving the house.  if the outside temperature is below 14  degrees ",datetime-localtime,At 07:30 in the morning,1
student2019-19,217,EnergySaving,Generic,Generic,none,none,fridge-door,"If the refrigerator is not closed between 11pm and 6am, ",1
student2020-15,296,EnergySaving,Generic,Generic,bedroom-alllight,turn off all the lights in the bedroom and  ,reminders-reminders,"send an SMS alert to me saying ""lights off,"" so as to notify the user that the lights have been turned off by the system and a waste of light has been avoided",1
student2019-20,223,Wellbeing,Generic,Morning,alarms-alarms,"send the alarm ""user has not woken up yet"" ",activity-wakingup,"If the user does not wake up from 7 to 11, ",1
student2019-10,172,EnergySaving,Generic,Generic,corridor-alllight;fridge-door,turn on the lights in the corridor and  the refrigerator door is open ,kitchen-alllight,then turn on the lights in the kitchen and ,0
domainExpert4,13,Health,Caregiver,Generic,none,none,activity-medicationname,if Duoplavin lunch was not taken between 1:07 pm and 2:09 pm,1
student2020-10,270,Safety,Generic,Generic,kitchen-gassensor,If the gas sensor is on  ,reminders-reminders,"send 3 times a voice reminder ""gas sensor is on!""",1
student2021-03,372,"Wellbeing,Health",Generic,Generic,test-user-bodytemperature;bedroom-temperature,"When the body temperature is greater than 38 and  the room temperature is less than 20 °C,  ",bedroom-window,close the window and ,1
student2020-27,359,Comfort,Generic,Generic,reminders-reminders,and send a 'successful voice command' reminder. ,corridor-alllight,turn off all lights in the corridor,0
student2020-10,273,Comfort,Generic,Generic,none,none,entrance-doorsensor,If the entrance door sensor is open or ,1
applicationExpert2,65,"Comfort, Wellbeing",Generic,Evening,datetime-localtime,time becomes  22:00 minutes ,relativeposition-typeofproximity,Test-user   is  inside  livingroom and,1
applicationExpert4,100,Comfort,Generic,Generic,kitchen-lightlevel,Kitchen light level is  dark ,kitchen-changelightstate,do  turn on the  Kitchen Light,1
domainExpert5,34,Health,Caregiver,Generic,none,none,entrance light-state,"If the outside lights are off,",0
student2020-17,308,Comfort,Generic,Generic,livingroomlight-state;reminders-reminders,"the living room light status is off,  send the reminder ""You left the lights out in the living room!"" by sms to the user,  ",currentweather-rainquantity,"the amount of rain is more than 40, ",0
student2019-9,167,EnergySaving,Generic,Generic,none,none,home-allwindow,open all the windows in the house.,0
student2020-17,309,Safety,Caregiver,Generic,none,none,corridor-alllight,"send the alert by notification ""The light strip in the corridor has gone out, be careful!""",1
student2020-24,343,Wellbeing,Generic,Night,bedroomlight-state," the bedroom light is on,  ",datetime-localtime,If it's midnight and,1
student2019-11,177,Safety,Generic,Generic,none,none,kitchen-temperaturelevel,"the kitchen temperature is above 40,",0
student2020-9,269,Generic,Generic,Debug,none,none,smalllight-state,the bedside light is not on (condition),0
student2020-13,286,EnergySaving,Generic,Night,bathroom-lightlevel;alarms-alarms,"If the bathroom light remains on between 11:00 pm and 6:00 am,  it will turn off all bathroom lights and  ",bathroom-alllight,"send a notification to the user ""BATH LIGHT OFF.""",1
student2020-11,279,Comfort,Generic,Generic,none,none,bathroom-window,close the window,0
student2019-7,152,Wellbeing,Generic,Generic,reminders-reminders;livingroom-relax;livingroomlight-state,asks the user if she want to listen to some music the system activates the lights in a relaxing way and light in the lounge is off ,cognitive-emotionalstate,If the user is sad and,1
student2020-18,314,Wellbeing,Generic,Generic,bedroom-alllight;bedroomportablelight-state," turn on all the lights in the bedroom,  and if the bedroom light is off, ",bedroomlight-state,"with the lights on, ",0
applicationExpert5,116,Generic,Generic,Generic,kitchen-alllight,turn off all kitchen lights ,kitchen-windowsensor,If the kitchen window sensor is open,1
applicationExpert4,92,Comfort,Generic,Generic,none,none,entrance-changelightstate,do  turn on the  Entrance Light,1
student2019-5,143,Wellbeing,Generic,Generic,bedroom-temperaturelevel,If the bedroom temperature is below 13 degrees and ,bedroomportablelight-brightness,When the brightness of the portable light of the bedroom  becomes greater than 100,0
student2020-5,246,EnergySaving,Generic,GoingOut,all-alllight,turn off all the lights and  ,medication-intaketime,if  Test-user intake time is different from  15:00,0
student2020-27,356,Wellbeing,Generic,Generic,none,none,entrancelight-state,"if the entrance lights are off,",0
student2019-20,221,EnergySaving,Generic,Generic,none,none,cognitive-emotionalstate,If the user is sad and,0
student2020-24,344,Comfort,Generic,Generic,none,none,livingroomlight-color,"the light in the living room is yellow,",0
student2020-3,236,"Health, Wellbeing",Generic,Generic,cognitive-trainingtime,"If the user does not train between 7 and 18, ",alarms-alarms, he is advised to do some physical activity and ,1
student2021-02,368,Comfort,Generic,Morning,none,none,datetime-localtime,If it's 7:30 am and ,1
student2021-05,381,Generic,Generic,Night,home-electricity,"If the electricity fails between 11pm and 7am (while you sleep),  ",bedroomportablelight-brightness,When the brightness of the portable light of the bedroom  becomes greater than 100,0
student2021-12,415,Organizing,Generic,Generic,none,none,reminders-reminders,send me a message to warn me and to remind me to check the internet connection,1
student2020-7,256,Security,Generic,Night,none,none,entrance-doorsensor,"When the front door is not closed between 8:00 and 15:00, ",1
student2021-09,401,"Comfort,Wellbeing",Generic,BadWeather,livingroom-windowsensor,"if the living room window is open,  ",currentweather-outdoorcondition,When it is raining outside and ,1
applicationExpert1,44,Health,Caregiver,Generic,none,none,reminders-reminders,"do send  reminder  ""Remember to take the aspirine"" by notification",1
student2019-11,178,Comfort,Generic,Generic,bedroomlight-state,"if the room light is off, ",bedroom-alllight, turn on the light in the room and ,1
student2020-6,254,"Comfort,Safety",Generic,Generic,kitchenlight-state;kitchen-alllight," the light in the kitchen is off,  then turn on the lights in the kitchen and  ",hearth rate,"send  two  alarms ""hearth rate"" by notification",0
student2020-18,310,EnergySaving,Generic,Generic,reminders-reminders,send a voice memo that says The microwave door is open! ,microwave-door,"If the microwave door is open, ",1
student2020-6,253,Organizing,Student,Generic,alarms-alarms;bedroomportablelight-state,"then send a (voice) reminder and the lamp light in the bedroom is on,  ",kitchen-noiselevel,If the noise in the kitchen is greater than 60 db (example threshold) and ,1
student2021-12,415,Organizing,Generic,Generic,none,none,wi fi-state,When the wifi goes out ,1
domainExpert5,27,Safety,Caregiver,ElderlyAlone,relativeposition-typeofproximity;datetime-localtime,when the test user goes out and the time is between 21:00 and 22:00 ,timeinsidearoom-timeinsidebedroom,If the user has been in the bedroom for 30 minutes and ,0
student2020-18,313,Security,Generic,Generic,entrance-alllight,turn on the entrance light ,alarms-alarms,"send an alarm via notification with the words ""Noise perceived at the entrance!"", ",1
student2020-20,324,Wellbeing,Generic,Working,livingroom-lightlevel;livingroom-relax,"the living room light is on,  start a relaxing light scene in the living room and  ",reminders-reminders,"send the reminder ""Remember to take breaks and relax"" to the user",1
domainExpert5,27,Safety,Caregiver,ElderlyAlone,alarms-alarms;datetime-localtime,"send two SMS alerts ""User 2 is away from home late at night"" to Caregiver 2 the time is between 21:00 and 22:00 ",datetime-localtime,the time is between 21:00 and 22:00,1
student2020-13,287,Organizing,Generic,"BadWeather, ColdSeason",none,none,currentweather-outdoortemperature,"the outside temperature is below 5 degrees, ",1
applicationExpert1,37,Health,Caregiver,Generic,activity-medicationname,if Aspirine has been taken ,kitchen-smokesensor,If there is smoke in the kitchen and ,0
student2019-3,133,Wellbeing,Student,Generic,none,none,kitchen-gassensor,If the gas sensor is on ,0
student2020-12,282,"Health,Wellbeing",Generic,HotSeason,none,none,bedroomlight-color,the room lights are blue,0
student2020-18,311,Safety,Generic,Generic,corridor-smokesensor;alarms-alarms,"If the corridor smoke sensor is not active,  send the alarm via text message to 333123456 twice with the words ""Attention! The corridor smoke sensor is not active, ",corridor-motion,If no movement is detected in the corridor and ,0
student2019-2,129,EnergySaving,Generic,ElderlyAlone,reminders-reminders,"sends a reminder ""Close the fridge door"" via notification ",hearth rate,"send  two  alarms ""hearth rate"" by notification",0
student2019-18,212,Health,Caregiver,ElderlyAlone,physiological-heartrate,TRIGGER: (EVENT) If the heart rate exceeds 200 beats and  ,activity-medicationname,(CONDITION) the heart medicine has not been taken ,1
