user,rule_id,goal,user_type,situation,context,context_nl,item,item_nl,label
applicationExpert1,40,"Wellbeing, Health",Generic,GoodWeather,reminders-reminders,"do send  one  reminder ""Go outside to have a walk"" by notification ",physiological-steps,if  Marco daily footsteps is    less then  5000,1
student2020-5,249,"EnergySaving, Wellbeing",Generic,Night,bedroom-alllight,turn them off and  ,reminders-reminders,"send me the reminder ""Even today you fell asleep with the light on """,1
applicationExpert4,112,Safety,Caregiver,Morning,alarms-alarms,"do send  one  alarm ""no motion in bedroom"" by sms to caregiver ",kitchen-microwave,turn off the microwave oven and ,0
student2019-8,162,Safety,Family,Night,reminders-reminders,"send the parent (s) three alarms with the text ""Child is not in the bedroom!"" and ",relativeposition-typeofproximity,If the child is not in the bedroom in the time interval from 23:00 to 00:00 (condition with 'Not'),1
student2021-08,398,WellBeing,Generic,Night,devices-tv,turn off the TV and  ,home-alllight,turn off all the lights.,1
student2021-06,388,Health,Generic,Generic,home-alllight, then turn on all the lights in the house and  ,corridor-alllight,turn off all lights in the corridor,0
student2020-27,359,Comfort,Generic,Generic,livingroomlight-state,"if the living room light is off,  ",livingroom-alllight,"turn on the living room lights, ",1
student2019-12,184,Organizing,Generic,Generic,bathroom-hue color light bathroom, change the bathroom light to red and  ,reminders-reminders,send a reminder via notification 'Spent 15 minutes in the bathroom' ,1
student2020-3,236,"Health, Wellbeing",Generic,Generic,livingroom-activate,the lights come on in Activating Scene mode ,alarms-alarms, he is advised to do some physical activity and ,1
student2019-18,210,Comfort,Generic,Generic,corridor-alllight;entrance-alllight,ACTION: turn on the corridor lights ACTION: Turn on the entrance and  ,devices-smartphonetv,turn on your phone and ,0
student2021-04,376,Security,Generic,Night,home-alllight,turn on all the lights ,livingroom-motion,"When the motion sensor in the living room, near the sofa, is activated and ",0
student2020-26,353,Wellbeing,Generic,BadWeather,livingroom-relax,Turn on the relaxing light in the living room and  ,cognitive-cognitivestate,If the user's age is over 70 or ,0
student2021-11,412,Safety,Generic,BadWeather,tv-state,"the television is on,  ",physiological-steps,If the application indicates that the number of steps taken today by the user is not greater than 7000 (condition),0
student2019-8,156,"Wellbeing, EnergySaving",Generic,ColdSeason,reminders-reminders;corridor-doorwindowsensor,it sends the user a reminder that suggests closing the corridor window.  the sensor located in the corridor detects the open window (condition) ,smartphone-state," if I have at least one device on (smartphone),",0
domainExpert10,118,Wellbeing,Generic,Evening,livingroom-relax;datetime-localtime,do start relaxing light scene in the living room time becomes  more then  22:00 minutes ,relativeposition-typeofproximity,When  Test-user   is  inside  livingroom and,1
student2020-11,278,Comfort,Generic,Evening,livingroom-alllight;alarms-alarms,"turn on the light in the living room. send me an alarm notification saying ""The light in the living room is still off!"" and  ",physiological-heartrate,TRIGGER: (EVENT) If the heart rate exceeds 200 beats and ,0
applicationExpert1,40,"Wellbeing, Health",Generic,GoodWeather,physiological-steps,if  Marco daily footsteps is    less then  5000 ,currentweather-outdoorcondition,If it's raining outside and ,0
student2019-2,126,Safety,Generic,Generic,reminders-reminders;livingroom-windowsensor,"send three sms ""Close doors and / or windows"". the living room window sensor indicates that is open ",bedroomlight-state,"the lights are off,",0
student2020-19,316,Security,Generic,Night,entrance-alllight;alarms-alarms,turn on all the lights at the entrance send 3 alarm SMS notifications and at the same time  ,entrance-doorsensor,"if the entrance door is not closed between 1 and 5 am, ",1
student2020-14,293,EnergySaving,Generic,Generic,alarms-alarms,"send an alert notification saying ""No need to keep the light on"" and  ",bedroom-alllight,turns on neutral lights in the room and,0
domainExpert4,8,"Wellbeing, Health",Caregiver,Generic,alarms-alarms,"send an alarm ""You can stop doing the exercises"" by notification ",activity-wakingup,if the user is awake and,0
student2020-9,267,Organizing,Generic,"ColdSeason, BadWeather",currentweather-snow;currentweather-outdoortemperature," WHEN   Weather & Time becomes snow    and   Weather & Time outdoor temperature is  less then  0  ,   ",reminders-reminders,"do send  the reminder  ""It's snowing!"" by sms to Laura",1
student2020-19,319,"Comfort,EnergySaving",Generic,Generic,bathroomlight-state," if the bathroom light is off,  ",livingroom-activate,do start activating light scene in the living room,0
student2019-8,162,Safety,Family,Night,bedroom-hue color light bedroom;reminders-reminders,"turn on the light of (their) bedroom  setting it to red. send the parent (s) three alarms with the text ""Child is not in the bedroom!"" and ",relativeposition-typeofproximity,If the child is not in the bedroom in the time interval from 23:00 to 00:00 (condition with 'Not'),1
student2021-05,382,Generic,Generic,Generic,relativeposition-typeofproximity;kitchen-smokesensor,if the user is out of the house When the fire sensor is activated  ,alarms-notificationmode,call the fire brigade,1
student2020-14,293,EnergySaving,Generic,Generic,livingroom-lightlevel,"If the brightness in the living room is at the ""Daylight"" level,  ",test-user-heartrate,When I have a heart rate of 130 beats per minute and ,0
domainExpert7,60,Comfort,Generic,Generic,livingroom-greatluminare,turn on the great light ,heating system-state,"the heating is off, ",0
applicationExpert5,116,Generic,Generic,Generic,kitchen-alllight,turn off all kitchen lights ,livingroomlight-color,"the light in the living room is yellow,",0
student2020-3,236,"Health, Wellbeing",Generic,Generic,livingroom-activate;alarms-alarms,the lights come on in Activating Scene mode  he is advised to do some physical activity and  ,cognitive-trainingtime,"If the user does not train between 7 and 18,",1
student2019-11,178,Comfort,Generic,Generic,reminders-reminders;bedroom-alllight;bedroomlight-state,"send me a voice reminder  turn on the light in the room and  if the room light is off, ",kitchenlight-brightness,If the intensity of the kitchen light bulb is less than 1 (condition),0
student2021-06,388,Health,Generic,Generic,reminders-reminders;home-alllight,"send me the email ""hearth rate too high""  then turn on all the lights in the house and  ",pc-state," if I have at least one device on (pc),",1
student2019-17,209,Comfort,Generic,Morning,reminders-reminders,send a notification to Simone saying 'Good morning!' ,bedroom-alllight,turn off the colored lights and ,1
student2019-8,160,Wellbeing,Generic,Evening,bathroomlight-state;datetime-localtime,If the bathroom light is not turned off  in the time interval from 21:00 to 22:30 (condition) ,entrance-alllight,turn on the entrance lights and ,0
student2021-14,428,Organizing,Generic,Morning,living room alexa-state,"Alexa is off,  ",devices-alexa services,activate Alexa with the news of the day and ,1
student2020-23,336,"Comfort,Security",Generic,Generic,alarms-alarms,make an alarm sound ,entrance-alllight,turn on the light in the hall and ,1
domainExpert8,71,Health,Caregiver,Generic,datetime-localtime,When time becomes  08:00 minutes ,livingroom-temperaturelevel,"the temperature drops to less than 20 degrees, ",0
student2019-3,134,"Organizing, Wellbeing",Generic,Generic,reminders-reminders," send a text reminder ""Wake up"" to go to work ",datetime-localdate,it's December 9th,1
student2019-20,221,EnergySaving,Generic,Generic,kitchen-lightlevel,"the kitchen light is off,  ",currentweather-weathericon,If the weather weather icon is sun,0
applicationExpert4,84,Safety,Caregiver,Generic,kitchen-smokesensor,Kitchen smoke sensor becomes  active ,kitchen-gassensor,When  Kitchen gas sensor becomes  active    or,1
student2019-18,210,Comfort,Generic,Generic,corridor-alllight,ACTION: turn on the corridor lights ,entrance-alllight,ACTION: Turn on the entrance and ,1
student2021-05,383,"Wellbeing,Comfort",Generic,ColdSeason,home-heating,turn on the heating and  ,reminders-reminders,"send the reminder by notification ""It's cold today, the heating has been turned on"".",1
student2020-11,279,Comfort,Generic,Generic,bathroomlight-state;vocalinput-vocalstring,"If the bathroom light is on and  the user says the voice input ""Turn off the lights in the bathroom,""  ",bathroom-alllight,turn off the lights in the bathroom and ,1
student2021-13,424,"Comfort,Wellbeing",Generic,Generic,tv-state,if the user wants to watch TV and ,test-user-leisure," the TV is on,",1
student2021-08,398,WellBeing,Generic,Night,datetime-localtime;tv-state,"If it's 11pm and  the TV is on,  ",test-user-bodytemperature,When the body temperature is greater than 38 and ,0
student2021-06,388,Health,Generic,Generic,home-alllight;pc-state;tablet-state," then turn on all the lights in the house and   if I have at least one device on (pc),  if I have at least one device on (tablet), ",timeinsidearoom-timeinsidebedroom,If the user has been in the bedroom for 30 minutes and ,0
student2020-7,256,Security,Generic,Night,entrance-doorsensor,"When the front door is not closed between 8:00 and 15:00,  ",reminders-reminders,you receive three alarm notifications saying 'Attention front door open!' and ,1
student2021-10,409,EnergySaving,Generic,"GoingOut,Working",test-user-outsideposition,"When the user is away from home, in the office, and  ",light-state,"if the main lights in the living room are on, ",1
student2020-17,309,Safety,Caregiver,Generic,alerts-alerts,"turn on the light strip corridor,  ",corridor-alllight,"send the alert by notification ""The light strip in the corridor has gone out, be careful!""",1
student2020-19,316,Security,Generic,Night,alarms-alarms,send 3 alarm SMS notifications and at the same time  ,entrance-alllight,turn on all the lights at the entrance,1
student2020-20,321,"Health,Wellbeing",Generic,Generic,reminders-reminders,"send the alarm ""Your daily step goal has not been reached"" by notification,  ",cognitive-vocalemotionalstate,"the person's voice is sad, ",0
student2021-02,367,Comfort,Generic,Generic,entrance-doorsensor,"while the entrance door is open,  ",entrance-lightlevel,If the lights at the entrance are off ,1
student2019-14,190,Organizing,Generic,"BadWeather, GoingOut",currentweather-outdoorcondition,"If the weather is rainy,  ",reminders-reminders,"send the reminder ""remember the umbrella"" by notification",1
student2021-02,366,Health,Generic,Generic,alarms-notificationmode,turn on all the lights in the house and  ,test-user-medicine,"If I haven't taken my medicine at 11, ",1
student2019-18,210,Comfort,Generic,Generic,relativeposition-typeofproximity;entrance-alllight,TRIGGER (EVENT): When I enter the house  ACTION: Turn on the entrance and  ,corridor-alllight,ACTION: turn on the corridor lights,1
student2021-12,418,"Comfort, Wellbeing",Generic,Generic,light-state,"the light in the living room is off, ",datetime-localtime,If it's 9pm and ,1
student2020-13,288,EnergySaving,Generic,Morning,kitchen-alllight,it will turn off all kitchen lights and  ,bathroom-smokesensor,If the smoke sensor is active and ,0
student2021-11,413,Security,Generic,Night,entrance-doorsensor,"If the main door is not closed between midnight and eight in the morning,  ",alarms-notificationmode,set on the alarm and ,1
student2021-04,378,"Wellbeing,Comfort",Generic,Morning,devices-alexa services, tune Alexa to deliver the day's news. ,bedroomportablelight-state,If the bedroom light is on and,0
applicationExpert4,108,"Health, Wellbeing",Generic,Generic,reminders-reminders,"do send  one  reminder ""you should move more!""  by notification ",livingroom-smokesensor,If smoke is detected in the kitchen and ,0
domainExpert5,27,Safety,Caregiver,ElderlyAlone,alarms-alarms;datetime-localtime,"send two SMS alerts ""User 2 is away from home late at night"" to Caregiver 2 the time is between 21:00 and 22:00 ",smartphone-state," if I have at least one device on (smartphone),",0
student2019-8,156,"Wellbeing, EnergySaving",Generic,ColdSeason,corridor-doorwindowsensor, the sensor located in the corridor detects the open window (condition) ,kitchen-temperaturelevel,"the kitchen temperature is above 40,",0
student2020-22,331,Wellbeing,Generic,Night,bedroom-lightlevel,"If it is not dark in the room between 11pm and 12am,  ",reminders-reminder,remind me to drink some water,0
student2019-5,144,"Organizing, Wellbeing",Student,Morning,bedroomportablelight-state,the bedside table light is on blue ,garden-smokesensor,"If the smoke sensor in the garden is not turned on, ",0
applicationExpert4,107,"Safety, Comfort",Generic,Night,datetime-localtime;datetime-localtime,time  is between 00:00 AND 06:00  time  is between 00:00 AND 06:00  ,livingroom-motion,When the LivingRoom movement becomes active and,0
student2021-12,418,"Comfort, Wellbeing",Generic,Generic,livingroom-hue color light living room, turn on the blue light and  ,devices-tv,turn on the TV,1
student2020-21,328,"Wellbeing,Comfort",Generic,ColdSeason,bathroom-alllight;reminders-reminders," turn on all lights in the bathroom do send  two  alarms   by notification with text ""Bathroom temperature is less then 13 degrees"",  ",bathroom-lightlevel,"Bathroom Light state is  off  ,  ",1
student2021-11,413,Security,Generic,Night,entrance-doorsensor;alarms-notificationmode,"If the main door is not closed between midnight and eight in the morning,  set on the alarm and  ",medication-intaketime,if  Test-user intake time is different from  15:00,0
student2021-14,429,"Health,Wellbeing",Student,Generic,test-user-heartrate;coffee machine-state,"When I have a heart rate of 130 beats per minute and  if the coffee machine is on, ",kitchen-coffeemachine, turn off the coffee machine and ,1
domainExpert7,61,Wellbeing,Generic,Morning,livingroom-changelightstate,turn on the living room light for 15 minutes ,bedroom-windowsensor,"If the bedroom window is not closed between 11pm and 6am, ",0
student2021-02,366,Health,Generic,Generic,alarms-notificationmode,turn on all the lights in the house and  ,home-alllight,start an alarm siren,1
student2021-12,419,EnergySaving,Generic,"GoingOut,Working",home-heating,turn off the heating and  ,reminders-reminders,send a notification (2 times) to remind me to turn it on when I return,1
student2019-3,130,"Organizing, Wellbeing",Student,Morning,alarms-alarms,"send the text message ""Lights on"" to me and  ",livingroom-alllight,turn them on.,1
student2020-21,327,"Wellbeing,Organizing",Generic,BadWeather,currentweather-outdoorcondition;livingroom-windowsensor,"If it's raining outside and  the windows in the living room are open,  ",wi fi-state,When the wifi goes out ,0
student2020-12,284,"Health,Wellbeing",Generic,Generic,bathroom-temperaturelevel;bathroom-activate," if the temperature exceeds 30°C,  start the activating light scene in the bathroom and  ",twentyfourhoursweatherforecast-outdoorcondition,When the weather forecast predicts snow or ,0
student2020-20,324,Wellbeing,Generic,Working,livingroom-relax,start a relaxing light scene in the living room and  ,reminders-reminders,"send the reminder ""Remember to take breaks and relax"" to the user",1
student2020-19,318,"Wellbeing,Organizing",Generic,Evening,kitchenlight-state,if the light in the kitchen is off  ,datetime-localtime,"9.00pm, and ",1
student2019-14,192,Wellbeing,Student,Generic,kitchen-relax,"start relaxing the light scene in the kitchen, ",currentweather-rain,If it starts to rain and,0
student2021-06,387,Comfort,Generic,Generic,light-state,"if the lights in the living room are off,  ",kitchen-motion,If no movement in the kitchen by the sensor is recorded (condition) and,0
student2019-9,168,Security,Generic,Generic,all-alllight;alarms-alarms;greatluminaire-state,turn on all the lights in the house.  send a text message to the user saying: movement detected in the living room and the lights are off ,livingroom-motion,if there is movement in the living room and,1
student2020-14,293,EnergySaving,Generic,Generic,livingroom-lightlevel;livingroomlight-state;alarms-alarms,"If the brightness in the living room is at the ""Daylight"" level,  and the light in the living room is on,  send an alert notification saying ""No need to keep the light on"" and  ",livingroom-alllight,turn off the light in the living room,1
student2020-17,306,EnergySaving,Generic,Generic,livingroom-lightlevel;reminders-reminders,"If the light level of the living room is not dark between 6pm and 7am,   send the notification ""You forgot the light on in the living room! I will take care of that, be careful!"", ",livingroom-alllight,turn off all lights in the living room,1
applicationExpert4,106,Safety,Caregiver,ElderlyAlone,datetime-localtime;relativeposition-typeofproximity, WHEN  time becomes  20:00 minutes and Test-user   is  outside house ,alarms-alarms,"do send  one  alarm  ""Elderly is outside house!"" by sms to caregiver",1
student2020-22,333,EnergySaving,Generic,Generic,alarms-alarms,"send the user an alarm notification (Unused corridor lights, switch off) and  ",bathroom-alllight,then turn off the lights in the bathroom and ,0
student2019-2,128,Safety,Generic,Generic,alarms-alarms,"send the alarm ""some smoke comes from the kitchen"" via notification. ",wi fi-state,When the wifi goes out ,0
student2019-18,213,"Comfort, Wellbeing",Generic,BadWeather,all-biorhythmlight,ACTION: (1) Turn on the house lights intermittently and  ,home-allwindow,open all the windows in the house.,0
student2019-12,180,Generic,Generic,Generic,bedroom-lightlevel,"If the bedroom light is on,  ",kitchen-smokesensor,If the kitchen smoke sensor is activated and,0
student2021-10,409,EnergySaving,Generic,"GoingOut,Working",reminders-reminders;livingroom-changelightstate,send a text message to the user reminding him that he has forgotten the lights on turn off the lights and  ,relativeposition-typeofproximity,Test-user   is  inside  kitchen and,0
student2019-15,199,"Comfort, Safety",Generic,Generic,bathroom-alllight;bathroomlight-state,"turn on the bathroom lights and   if the bathroom lights are off [condition],  ",relativeposition-typeofproximity,"When the user enters the bathroom [event],",1
student2020-17,305,EnergySaving,Generic,Generic,fridge-door,"If the refrigerator door is open,  ",reminders-reminders,"send the reminder ""Close the fridge door!"" via notification",1
student2020-17,306,EnergySaving,Generic,Generic,livingroom-alllight;reminders-reminders,"turn off all lights in the living room send the notification ""You forgot the light on in the living room! I will take care of that, be careful!"", ",livingroom-lightlevel,"If the light level of the living room is not dark between 6pm and 7am,  ",1
student2019-10,173,Safety,Generic,Generic,alarms-alarms;kitchenlight-state,it sends an alarm indicating the presence of smoke in the kitchen and  the kitchen light goes from being on to being turned off ,twentyfourhoursweatherforecast-outdoortemperature,"if the outside temperature is 0 degrees, ",0
student2019-4,138,Organizing,Generic,BadWeather,greatluminaire-state,the great luminaire is on ,twentyfourhoursweatherforecast-rain,If tomorrow it will rain and,1
student2019-7,152,Wellbeing,Generic,Generic,reminders-reminders;livingroom-relax;livingroomlight-state,asks the user if she want to listen to some music the system activates the lights in a relaxing way and light in the lounge is off ,bathroom-hue color light bathroom, change the bathroom light to red and ,0
student2021-07,391,Health,Generic,Generic,devices-smartphonetv,turn on your phone and  ,test-user-medicine,"If you haven't taken your medicine, ",1
domainExpert4,22,Health,Caregiver,Generic,activity-medicationname,if Eucreas morning was not taken between 7:30am and 8:00am ,entrance-door,close the door.,0
student2021-05,383,"Wellbeing,Comfort",Generic,ColdSeason,reminders-reminders,"send the reminder by notification ""It's cold today, the heating has been turned on"". ",livingroom-relax,it starts a relaxing atmosphere and ,0
domainExpert4,15,Health,Caregiver,Generic,activity-medicationname,if Ganfort eye drops have not been taken between 8:03 PM and 9:06 PM ,alarms-alarms,"send two alerts ""Trusopt eye drops evening"" by notification",1
student2021-09,401,"Comfort,Wellbeing",Generic,BadWeather,currentweather-outdoorcondition,When it is raining outside and  ,livingroom-windowsensor,"if the living room window is open, ",1
student2020-13,288,EnergySaving,Generic,Morning,alarms-alarms;kitchen-alllight,"send an alarm via SMS to the user saying ""IT'S MORNING."" it will turn off all kitchen lights and  ",kitchenlight-state,"the kitchen light is on, ",1
applicationExpert4,89,"Comfort, Wellbeing",Generic,Night,datetime-localtime,time  is between 23:00 AND 06:00 ,activity-wakingup,If the user has woken up and,0
student2019-15,199,"Comfort, Safety",Generic,Generic,reminders-reminders;bathroom-alllight,send the voice notification 'Watch the step' turn on the bathroom lights and  ,home-robotvacuumcleaner, turn off the vacuum cleaner and ,0
student2020-11,278,Comfort,Generic,Evening,alarms-alarms,"send me an alarm notification saying ""The light in the living room is still off!"" and  ",livingroomlight-state,"and the light in the living room is off, ",1
student2020-26,352,Wellbeing,Generic,Generic,reminders-reminders;datetime-localtime,"send a voice notification ""It's time to get up"" it is midday,  ",entrance light-state,"If the outside lights are off,",0
student2019-8,155,Safety,Generic,Generic,kitchen-gassensor;kitchen-motion,If the gas sensor is active (condition) and the motion sensor in the kitchen does not detect movement (condition) ,alarms-alarms, it sends the user three times a text message saying: Has anyone forgotten to turn off the gas? And,1
student2019-6,147,Security,Generic,Night,all-alllight, turn on all the lights in the house ,alarms-alarms,send three voice alarms saying: Be careful  thieves! and,1
student2020-14,294,EnergySaving,Generic,Generic,relativeposition-typeofproximity,"If the user's location is not in the bedroom, and  ",bedroomlight-state,"the light in the bedroom is on, ",1
student2020-2,234,Wellbeing,Generic,Generic,physiological-heartrate,If the person's heart rate meter signals 100 bpm and  ,cognitive-vocalemotionalstate,"the person's voice is sad, ",1
student2019-7,150,EnergySaving,Generic,Generic,fridge-door,If the fridge door is left open ,bedroom-window,open the windows in the bedroom,0
student2020-11,278,Comfort,Generic,Evening,livingroom-alllight;alarms-alarms,"turn on the light in the living room. send me an alarm notification saying ""The light in the living room is still off!"" and  ",livingroomlight-state,"and the light in the living room is off, ",1
student2020-16,301,Wellbeing,Generic,Generic,alarms-alarms,sends a motivational SMS to the user. ,entrance-alllight,ACTION: Turn on the entrance and ,0
student2019-20,223,Wellbeing,Generic,Morning,activity-wakingup;alarms-alarms,"If the user does not wake up from 7 to 11,  send the alarm ""user has not woken up yet"" ",livingroom-changelightstate,then turn on the living room lights and,0
student2019-13,187,Security,Generic,Generic,all-alllight;alarms-alarms,"turn on all the lights in the house. send a text message to the user ""Door has been opened!!!"" and ",bedroomportablelight-temperature,If the bedside light is above 5299K,0
student2020-11,279,Comfort,Generic,Generic,bathroom-alllight;vocalinput-vocalstring,"turn off the lights in the bathroom and  the user says the voice input ""Turn off the lights in the bathroom,""  ",corridor-temperaturelevel,"the inlet temperature is less than 18 degrees, ",0
student2021-10,409,EnergySaving,Generic,"GoingOut,Working",test-user-outsideposition;light-state,"When the user is away from home, in the office, and  if the main lights in the living room are on,  ",livingroom-changelightstate,turn off the lights and ,1
student2021-13,423,"EnergySaving,Wellbeing",Generic,GoodWeather,currentweather-outdoortemperature,"outside the temperature exceeds 15 degrees,  ",livingroomlight-temperature,"the light temperature is less than 20, ",0
